name,category,phone_number,address,website,latitude,longitude,place_id
K K Electrical,electrician,09630139364,"232-A, opposite Jardin Hotel, Tulsi Nagar, Nipania, Indore, Madhya Pradesh 452010",,22.7545239,75.921451,
Darbar electrician indore,electrician,,"Scheme No 78 - III, Sector B, Vijay Nagar, Aranya Nagar, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",,,,
Indore Lightwala Saraswati Electrical airconditioner cooler Sales and Services and light decoration and dj sound system,electrician,09713576092,"kushwah ji ka bagicha, 11, Pipliya Rao Ring Rd, Shivampuri Colony, Indore, Madhya Pradesh 452001",,,,
Blue Sapphire Class A Electrical Contractor,electrician,09755041100,"58, Neelkanth Colony Main Rd, Neelkanth Colony, Indore, Madhya Pradesh 452006",https://bsrsgroup.com,22.7244621,75.8474255,
Vishal electrician,electrician,07509541497,"16/2, Pardesipura, Indore, Madhya Pradesh 452003",,22.7485669,75.8652738,
Electricain in indore,electrician,,"698, New Gouri Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,22.758284,75.8634457,
Electrician Arun,electrician,08889528384,"222, Dhan Trident, 2nd Floor, PU-4 Block No. B-3, A.B. Road, Satya Sai Square, Vijay Nagar, Indore, Madhya Pradesh 452010",,22.7538977,75.8975964,
utsav patidar electrician,electrician,,"near rasgulla house, Geeta Bhawan, Lalaram Nagar, Indore, Madhya Pradesh 452001",,,,
SAIFEE ELECTRICALS,electrician,09893385225,"No.2, 76/2, Siyaganj Electric Market Street, Siyaganj, Indore, Madhya Pradesh 452007",,,,
"PURVANSH ELECTRICAL TRADING AND TRAINING: Best Solar installer in Indore, Madhya Pradesh",electrician,06268284606,"kalindi gold city, Bhangya Sanwer Road, near Ruby Garden, Sector Gold, Bhawrasla, Indore, Madhya Pradesh 453555",https://purvanshelectrical.com,22.7945887,75.8632244,
