name,address,phone,category,area,lat,lng,place_id,url
Indore Lightwala Saraswati Electrical airconditioner cooler Sales and Services and light decoration and dj sound system,"kushwah ji ka bagicha, 11, Pipliya Rao Ring Rd, Shivampuri Colony, Indore, Madhya Pradesh 452001",,electrician,,,,,
Blue Sapphire Class A Electrical Contractor,"58, Neelkanth Colony Main Rd, Neelkanth Colony, Indore, Madhya Pradesh 452006",,electrician,,,,,
Vishal electrician,"16/2, Pardesipura, Indore, Madhya Pradesh 452003",,electrician,,,,,
Electricain in indore,"698, New Gouri Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,electrician,,,,,
Electrician Arun,"222, Dhan Trident, 2nd Floor, PU-4 Block No. B-3, A.B. Road, Satya Sai Square, Vijay Nagar, Indore, Madhya Pradesh 452010",,electrician,,,,,
utsav patidar electrician,"near rasgulla house, Geeta Bhawan, Lalaram Nagar, Indore, Madhya Pradesh 452001",,electrician,,,,,
SAIFEE ELECTRICALS,"No.2, 76/2, Siyaganj Electric Market Street, Siyaganj, Indore, Madhya Pradesh 452007",,electrician,,,,,
"PURVANSH ELECTRICAL TRADING AND TRAINING: Best Solar installer in Indore, Madhya Pradesh","kalindi gold city, Bhangya Sanwer Road, near Ruby Garden, Sector Gold, Bhawrasla, Indore, Madhya Pradesh 453555",,electrician,,,,,
Ajay electrician Indore,"above R.R city, Chota Bangarda, Indore, Madhya Pradesh 452005",,electrician,,,,,
"SUDHIR KUSHWAH , BAJAJ ELECTRIC","78, Main Rd, Sector A, Slice 2, Aranya Nagar, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",,electrician,,,,,
Rudr Electrician Service,"GM 35, Scheme No 54, Indore, Madhya Pradesh 452010",,electrician,,,,,
Right Engineering,"19, Brijeshwari Annexe, Indore, Madhya Pradesh 452016",,electrician,,,,,
House wiring Electrician Vishal Patel,"teen imli, Khisnpuri Colony, Babul Nagar, Palda, Indore, Madhya Pradesh 452020",,electrician,,,,,
Sarthak electrical works,"550, Sector D, Sudama Nagar, Indore, Madhya Pradesh 452009",,electrician,,,,,
S.K. ELECTRICIAN ALL WARK,"Pardesipura, Indore, Madhya Pradesh 452003",,electrician,,,,,
Omkar Enterprises,"UG-16, President Tower, NH 59, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001",,electrician,,,,,
"Mahima electricals sels and service. Arvindo hospital petrol pump ke samne, shankheswar city ke samne","380, Mahesh Guard Line, Sector A, Sheetal Nagar, Indore, Madhya Pradesh 452010",,electrician,,,,,
Sree bala ji electric vandna nagar Bangali indore,"bangli squre 17, Vandana Nagar Extension, Vandana Nagar, Indore, Madhya Pradesh 452018",,electrician,,,,,
KELKAR ELECTRICALS,,,electrician,,,,,
MBA Electrician service,"291, Patni Pura, Indore, Madhya Pradesh 452011",,electrician,,,,,
Maa Ambika construction borewell and electrical,"Mansi medical ke pas, 1 Sukhdev Nagar Ex-2, Airport Rd, Aradhana Nagar, Indore, Madhya Pradesh 452005",,electrician,,,,,
Gupta Electrical Consultants,"44, behind Kankeshwari Garba Ground, Sunder Nagar Main, Sukhliya, Indore, Madhya Pradesh 452010",,electrician,,,,,
Yogeshwar Electronics,"Maruti Palace, 62, Poorani, Kalali, Indore, Madhya Pradesh 452002",,electrician,,,,,
Hemant electrical services indore 24/emergency electrician,,,electrician,,,,,
Jitu powerfix electrical and POP design,,,electrician,,,,,
Harsh Electricals,"1/78, Babu Lalchand Chajlani Rd, Kesar Bag Colony, Scheme 103, Indore, Madhya Pradesh 452012",,electrician,,,,,
Aman kaithwas Electrician,"Tilak Nagar, 503, Vinoba Nagar, Indore, Madhya Pradesh 452018",,electrician,,,,,
Raees auto electrician,"Raees auto electrician, opp. balwas hotel, Green Park, South Tukoganj, Indore, Madhya Pradesh 452001",,electrician,,,,,
Electrician Ajay indore,"526/1, Sunder Nagar, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",,electrician,,,,,
Sunil electrician,"PRHC+JMM, 60 Feet Rd, Ambikapuri Extension, Vyankatesh Nagar, Indore, Madhya Pradesh 452005",,electrician,,,,,
AJ ELECTRICALS - electrician for residence / electrical contractor / electrical shop,"682, Madina Nagar, Azad Nagar, Indore, Madhya Pradesh 452001",,electrician,,,,,
Govind plamber and electrician service,"Industrial Area, Bhavani nagar, Pardesipura, Indore, Madhya Pradesh 452003",,electrician,,,,,
Indore Electric,"96, Khajrana Rd, Ganeshpuri, Khajrana, Indore, Madhya Pradesh 452016",,electrician,,,,,
PERFECT ELECTRONIC & ELECTRICALS SHOP,"gali, 9, Chandu Wala Rd, near Gosiya masjid, Chandan Nagar, Indore, Madhya Pradesh 452002",,electrician,,,,,
